               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.020055,            0.008838,           0.0055807,             0.62136,             0.65796,             0.68264,             0.45484,            0.024687,           0.0041549,            0.012366,           0.0061814,           0.0061814,           0.0061814
                 137,            0.020031,           0.0087895,           0.0056491,             0.67034,             0.75417,             0.69502,             0.46122,            0.023605,           0.0038949,             0.01365,           0.0061531,           0.0061531,           0.0061531
                 138,            0.020193,           0.0087484,           0.0055697,             0.74649,              0.6279,             0.64727,              0.4225,            0.023942,           0.0041332,            0.014019,           0.0061249,           0.0061249,           0.0061249
                 139,            0.020289,           0.0088515,           0.0056049,             0.58816,             0.69918,              0.6276,             0.42053,             0.02676,           0.0040725,            0.014162,           0.0060966,           0.0060966,           0.0060966
                 140,            0.019996,           0.0085408,           0.0050213,             0.55979,              0.6564,             0.63684,             0.42483,            0.023297,           0.0039667,            0.014442,           0.0060683,           0.0060683,           0.0060683
                 141,            0.020273,           0.0088088,            0.005121,             0.69681,             0.62572,               0.662,                0.44,             0.02472,           0.0039713,            0.015233,             0.00604,             0.00604,             0.00604
                 142,             0.01993,           0.0083067,           0.0047905,             0.55548,             0.74378,             0.65488,             0.44756,            0.026255,           0.0041596,            0.012663,           0.0060117,           0.0060117,           0.0060117
                 143,            0.019274,           0.0084795,           0.0052632,             0.53901,              0.6375,             0.56242,             0.35132,            0.025913,           0.0050213,            0.014121,           0.0059834,           0.0059834,           0.0059834
                 144,            0.019812,           0.0087767,           0.0056962,             0.60582,             0.71667,             0.66792,             0.44912,            0.024223,           0.0040751,            0.013317,           0.0059551,           0.0059551,           0.0059551
                 145,            0.019615,           0.0087647,           0.0060215,             0.60337,             0.72362,               0.656,             0.44009,            0.024872,           0.0040743,            0.012178,           0.0059269,           0.0059269,           0.0059269
                 146,            0.019722,           0.0084941,           0.0047032,             0.63191,             0.70046,             0.64165,             0.41682,            0.024267,           0.0040742,            0.014246,           0.0058986,           0.0058986,           0.0058986
                 147,            0.019674,           0.0087213,           0.0054646,             0.60205,             0.63937,             0.62247,             0.40999,            0.022936,           0.0042147,            0.015077,           0.0058703,           0.0058703,           0.0058703
                 148,            0.019677,           0.0085937,           0.0053753,             0.54839,             0.72138,             0.65077,             0.44394,            0.022869,           0.0040158,             0.01363,            0.005842,            0.005842,            0.005842
                 149,            0.018942,           0.0082977,           0.0050096,             0.59007,             0.72083,             0.64371,             0.42015,            0.024183,            0.004044,            0.013669,           0.0058137,           0.0058137,           0.0058137
                 150,            0.019391,           0.0085059,           0.0045617,             0.62831,             0.62083,             0.61543,             0.40045,            0.022988,           0.0040172,             0.01516,           0.0057854,           0.0057854,           0.0057854
                 151,             0.01871,           0.0083984,           0.0044496,             0.60164,             0.74637,             0.67007,             0.44403,            0.023487,           0.0039935,            0.012613,           0.0057571,           0.0057571,           0.0057571
                 152,            0.018912,           0.0084136,           0.0049431,             0.57213,             0.70264,              0.6932,             0.47558,            0.023398,           0.0038458,            0.012731,           0.0057289,           0.0057289,           0.0057289
                 153,            0.019222,           0.0086037,           0.0047586,             0.61223,              0.6375,             0.66799,             0.44792,            0.026355,           0.0039655,            0.012568,           0.0057006,           0.0057006,           0.0057006
                 154,            0.018831,           0.0084283,           0.0051194,             0.52976,             0.69183,             0.60044,             0.38973,            0.027328,           0.0039434,            0.013977,           0.0056723,           0.0056723,           0.0056723
