               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.024178,             0.01134,            0.012469,             0.62677,             0.87316,             0.62008,             0.45776,            0.011363,           0.0036788,            0.015839,           0.0086338,           0.0086338,           0.0086338
                  71,            0.021076,            0.011183,            0.010987,             0.79467,             0.71389,             0.74544,             0.56526,            0.015621,           0.0033423,           0.0094162,            0.008614,            0.008614,            0.008614
                  72,            0.020037,            0.011055,            0.011193,             0.50089,             0.82639,             0.64667,             0.46935,            0.013385,           0.0037332,            0.010027,           0.0085942,           0.0085942,           0.0085942
                  73,            0.029392,             0.01154,            0.011377,             0.53255,             0.88194,             0.64176,             0.49651,            0.011805,           0.0033219,            0.010725,           0.0085744,           0.0085744,           0.0085744
                  74,            0.026031,            0.010217,            0.010307,              0.4933,             0.81962,             0.56622,             0.39675,            0.013216,           0.0039467,               0.011,           0.0085546,           0.0085546,           0.0085546
                  75,            0.026923,            0.011687,            0.012979,             0.57062,             0.85251,             0.73412,             0.49682,             0.01196,           0.0033817,           0.0079857,           0.0085348,           0.0085348,           0.0085348
                  76,             0.02344,            0.010061,           0.0090562,             0.59514,             0.88889,             0.74432,             0.60864,            0.010972,           0.0028335,              0.0083,            0.008515,            0.008515,            0.008515
                  77,            0.026304,            0.010233,            0.013093,             0.59165,             0.88889,             0.74555,             0.58517,           0.0090239,           0.0027101,           0.0097183,           0.0084952,           0.0084952,           0.0084952
                  78,            0.020071,            0.011754,            0.013138,             0.58973,             0.72222,             0.67534,             0.49392,            0.013371,           0.0027819,            0.011539,           0.0084754,           0.0084754,           0.0084754
                  79,             0.02403,            0.011056,            0.012779,             0.50985,             0.95277,             0.55796,             0.44638,            0.010277,           0.0027499,            0.014003,           0.0084556,           0.0084556,           0.0084556
                  80,            0.015855,            0.010969,            0.011052,             0.49077,             0.91483,             0.64341,             0.53341,           0.0098154,           0.0026037,            0.019421,           0.0084358,           0.0084358,           0.0084358
                  81,             0.02804,            0.010482,            0.011325,             0.53301,                   1,             0.60691,             0.47699,            0.013138,           0.0027974,            0.012613,            0.008416,            0.008416,            0.008416
